registered_pct,user_count,ramp,scenario,http_req_duration_avg,http_req_duration_p90,http_req_duration_p95,login_duration_avg,login_duration_p90,login_duration_p95,play_duration_avg,play_duration_p90,play_duration_p95,iteration_duration_avg,http_req_failed_value,checks_passes,checks_fails,vus_max,filename
25,25,False,login,54.389959641255594,68.54114000000003,78.43498000000001,54.389959641255594,68.54114000000003,78.43498000000001,,,,1056.9426599402098,0.0,669,0,25,result_25_percent_registered_users25_rampfalse_login.json
25,25,True,full,65.94913069705095,64.16179,71.86480500000002,70.52711018766759,67.15362,74.37101999999996,61.37115120643436,62.53624000000001,68.35721999999998,1133.9111991063428,0.0,2238,0,25,result_25_percent_registered_users25_ramptrue_full.json
25,25,True,login,61.37403973176878,65.82852,72.35419999999992,61.37403973176878,65.82852,72.35419999999992,,,,1063.1047154233033,0.0,1193,0,25,result_25_percent_registered_users25_ramptrue_login.json
25,35,False,full,53.46284423937358,64.21148,71.51916,54.09327069351237,64.5548,73.99472999999993,52.832417785234945,63.63953,70.37899999999996,1109.7865825503368,0.0,1788,0,35,result_25_percent_registered_users35_rampfalse_full.json
25,35,False,login,89.9549820598007,66.6777,75.57840999999999,89.9549820598007,66.6777,75.57840999999999,,,,1092.6386203765232,0.0,903,0,35,result_25_percent_registered_users35_rampfalse_login.json
25,35,True,full,57.010645165528175,64.04235,71.759725,59.58223594324755,64.8799,72.49318999999998,54.439054387808774,63.39844,70.39370999999998,1115.6964884393058,0.0,3806,0,35,result_25_percent_registered_users35_ramptrue_full.json
25,35,True,login,61.20593806193789,66.4312,75.26487,61.20593806193789,66.4312,75.26487,,,,1062.6920034965033,0.0,2002,0,35,result_25_percent_registered_users35_ramptrue_login.json
25,50,False,full,53.179171033938395,63.79595000000001,71.05626,53.332506945540665,64.20478,71.67497,53.02583512233624,63.438660000000006,70.72131,1109.1639525651142,0.0,2534,0,50,result_25_percent_registered_users50_rampfalse_full.json
25,50,False,login,62.559371558245026,65.27118,75.86163000000002,62.559371558245026,65.27118,75.86163000000002,,,,1065.1770024205728,0.0,1322,0,50,result_25_percent_registered_users50_rampfalse_login.json
25,50,True,full,70.39976163909758,66.33864,74.468105,75.56317569924789,66.5382,74.33886,65.23634757894746,66.00236,74.46888,1142.3148245413545,0.0,6650,0,50,result_25_percent_registered_users50_ramptrue_full.json
25,50,True,login,63.63366193421425,67.59438,75.46391999999997,63.63366193421425,67.59438,75.46391999999997,,,,1064.9512099803198,0.0,3557,0,50,result_25_percent_registered_users50_ramptrue_login.json
50,10,False,full,61.51380542635652,65.19745,72.5564,70.01465503875974,63.166840000000015,69.07483999999991,53.01295581395349,66.08101,72.78298999999998,1125.9576903100767,0.0,516,0,10,result_50_percent_registered_users10_rampfalse_full.json
50,10,False,login,58.64497462686569,67.35095,71.93331999999998,58.64497462686569,67.35095,71.93331999999998,,,,1061.3213854477617,0.0,268,0,10,result_50_percent_registered_users10_rampfalse_login.json
50,10,True,full,87.02665800653592,72.23268999999999,80.77647999999998,73.01392745098033,71.189,82.487875,101.03938856209146,72.33664999999999,79.310625,1176.6127950980394,0.0,612,0,10,result_50_percent_registered_users10_ramptrue_full.json
50,10,True,login,53.45385747800586,64.7364,70.2898,53.45385747800586,64.7364,70.2898,,,,1055.6143941348978,0.0,341,0,10,result_50_percent_registered_users10_ramptrue_login.json
50,25,False,full,66.66900024038459,66.79392,73.23090999999997,75.71678237179484,67.24655,78.06750500000003,57.62121810897441,66.08614,71.02478500000001,1136.276330608974,0.0,1248,0,25,result_50_percent_registered_users25_rampfalse_full.json
50,25,False,login,53.409789323308225,66.08402,72.06414,53.409789323308225,66.08402,72.06414,,,,1056.0161332330827,0.0,665,0,25,result_50_percent_registered_users25_rampfalse_login.json
50,25,True,full,79.54096430530167,68.15455,78.11167,82.7344467093237,67.87356000000001,77.34025999999999,76.34748190127974,68.38718,79.13889999999991,1161.116046160877,0.0,2188,0,25,result_50_percent_registered_users25_ramptrue_full.json
50,25,True,login,60.26551507537692,65.9859,73.76489,60.26551507537692,65.9859,73.76489,,,,1061.990263065326,0.0,1194,0,25,result_50_percent_registered_users25_ramptrue_login.json
50,35,False,full,53.847337808988684,65.14989000000001,71.9853,53.90825550561801,66.58586,72.29424,53.786420112359515,63.85559,70.92674499999995,1110.5154586516837,0.0,1780,0,35,result_50_percent_registered_users35_rampfalse_full.json
50,35,False,login,53.440633368983946,65.23742000000001,72.35387999999999,53.440633368983946,65.23742000000001,72.35387999999999,,,,1056.129620962568,0.0010695187165775401,934,1,35,result_50_percent_registered_users35_rampfalse_login.json
50,35,True,full,61.47868403805478,65.78798000000002,73.5633,63.55687563424941,66.26303,73.41875499999999,59.40049244186043,64.78693,73.66948499999997,1124.6330665961955,0.0,3784,0,35,result_50_percent_registered_users35_ramptrue_full.json
50,35,True,login,71.98545796661617,67.97098,76.29207999999998,71.98545796661617,67.97098,76.29207999999998,,,,1073.5038346990393,0.0,1977,0,35,result_50_percent_registered_users35_ramptrue_login.json
50,50,False,full,53.99128460629925,64.73912,72.99807,54.05642283464567,65.43657000000002,73.73363499999999,53.92614637795279,64.21698000000002,72.04642999999999,1110.8220166141728,0.0,2540,0,50,result_50_percent_registered_users50_rampfalse_full.json
50,50,False,login,66.99623839150229,65.31626999999997,75.21405499999995,66.99623839150229,65.31626999999997,75.21405499999995,,,,1069.5940701062214,0.0,1318,0,50,result_50_percent_registered_users50_rampfalse_login.json
50,50,True,full,60.93414408969406,62.6447,70.32961499999999,63.156377101277194,62.790780000000005,71.02119999999998,58.71191107811114,62.37468,69.71115999999999,1123.352142768041,0.0,6734,0,50,result_50_percent_registered_users50_ramptrue_full.json
50,50,True,login,64.60883958861656,66.73102,75.72793999999999,64.60883958861656,66.73102,75.72793999999999,,,,1065.9363494223749,0.0,3549,0,50,result_50_percent_registered_users50_ramptrue_login.json
